"","ist","country_code","district_name","year","district_population","live_births","surviving_infants","under5pop","under15pop","cba_women","pregnant_women"
"121","CA","ANG","BOCOIO",2017,178169.34425355,6628,6200,31144,83597,40569,6628
"122","CA","ANG","BOCOIO",2018,178169.34425355,6628,6200,31144,83597,40569,6628
"123","CA","ANG","BOCOIO",2019,187709,6570,6153,21985,86615,43993,6570
"124","CA","ANG","BOCOIO",2020,192694,6667,6292,29016,87792,45517,6667
"125","CA","ANG","BOCOIO",2021,197751,6763,1467,29773,88831,47141,6763
"126","CA","ANG","BOCOIO",2022,202890,6858,6481,30466,89736,48868,6858
"127","CA","ANG","BOCOIO",2023,208115,6972,6587,31091,90515,50702,6972
"128","CA","ANG","BOCOIO",2024,213433,7086,6701,31645,91167,89491,7086
"129","CA","ANG","BOLONGONGO",2017,14159.84993677,527,493,2475,6644,3224,527
"130","CA","ANG","BOLONGONGO",2018,14159.84993677,527,493,2475,6644,3224,527
"131","CA","ANG","BOLONGONGO",2019,14974,585,544,1914,7138,3200,585
"132","CA","ANG","BOLONGONGO",2020,15403,596,559,2540,7287,3312,596
"133","CA","ANG","BOLONGONGO",2021,15841,608,21378,2614,7426,3433,608
"134","CA","ANG","BOLONGONGO",2022,16289,621,581,2685,7558,3562,621
"135","CA","ANG","BOLONGONGO",2023,16748,633,593,2751,7681,3700,633
"136","CA","ANG","BOLONGONGO",2024,17220,647,607,2814,7796,7644,647
"137","CA","ANG","BUCO ZAU",2017,35691.31562536,1328,1242,6239,16746,8127,1328
"138","CA","ANG","BUCO ZAU",2018,35691.31562536,1328,1242,6239,16746,8127,1328
"139","CA","ANG","BUCO ZAU",2019,37741,1340,1258,4526,16191,9336,1340
"140","CA","ANG","BUCO ZAU",2020,38805,1347,1281,5955,16547,9623,1347
"141","CA","ANG","BUCO ZAU",2021,39876,1356,2993,6094,16881,9919,1356
"142","CA","ANG","BUCO ZAU",2022,40953,1364,1297,6207,17191,10224,1364
"143","CA","ANG","BUCO ZAU",2023,42035,1370,1304,6291,17471,10538,1370
"144","CA","ANG","BUCO ZAU",2024,43122,1376,1311,6347,17720,17393,1376
"145","CA","ANG","BUENGAS",2017,62352.96306784,2320,2170,10899,29256,14198,2320
"146","CA","ANG","BUENGAS",2018,62352.96306784,2320,2170,10899,29256,14198,2320
"147","CA","ANG","BUENGAS",2019,66037,2463,2315,8265,32638,13809,2463
"148","CA","ANG","BUENGAS",2020,67989,2522,2387,10965,33266,14353,2522
"149","CA","ANG","BUENGAS",2021,69998,2590,5914,11324,33851,14940,2590
"150","CA","ANG","BUENGAS",2022,72072,2659,2517,11682,34394,15577,2659
"151","CA","ANG","BUENGAS",2023,74215,2739,2591,12039,34897,16264,2739
"152","CA","ANG","BUENGAS",2024,76434,2820,2671,12395,35360,34693,2820
"153","CA","ANG","BULA ATUMBA",2017,15603.10961282,580,543,2727,7321,3553,580
"154","CA","ANG","BULA ATUMBA",2018,15603.10961282,580,543,2727,7321,3553,580
"155","CA","ANG","BULA ATUMBA",2019,16813,629,585,2019,7561,3706,629
"156","CA","ANG","BULA ATUMBA",2020,17451,647,608,2726,7786,3880,647
"157","CA","ANG","BULA ATUMBA",2021,18105,666,9561,2840,8005,4064,666
"158","CA","ANG","BULA ATUMBA",2022,18776,687,645,2951,8218,4258,687
"159","CA","ANG","BULA ATUMBA",2023,19464,708,665,3056,8424,4462,708
"160","CA","ANG","BULA ATUMBA",2024,20171,730,686,3157,8623,8108,730
"161","CA","ANG","BUNGO",2017,40465.95573399,1505,1408,7073,18987,9214,1505
"162","CA","ANG","BUNGO",2018,40465.95573399,1505,1408,7073,18987,9214,1505
"163","CA","ANG","BUNGO",2019,42857,1599,1503,5364,21182,8962,1599
"164","CA","ANG","BUNGO",2020,44124,1637,1549,7116,21589,9315,1637
"165","CA","ANG","BUNGO",2021,45428,1681,5788,7349,21969,9696,1681
"166","CA","ANG","BUNGO",2022,46774,1726,1633,7582,22321,10109,1726
"167","CA","ANG","BUNGO",2023,48165,1777,1681,7813,22648,10555,1777
"168","CA","ANG","BUNGO",2024,49604,1830,1734,8044,22948,22515,1830
"169","CA","ANG","CAALA",2017,309507.22363536,11514,10771,54102,145221,70475,11514
"170","CA","ANG","CAALA",2018,309507.22363536,11514,10771,54102,145221,70475,11514
